initialUsedMemory,initialFreeMemory,query token,gcRun,gcInitialMemory,gcFinalMemory,gcTotalMemory,userTime,sysTime,realTime,cpuTimeTaken,finalUsedMemory,finalFreeMemory
4.249633841,2.999877878,token_1,FALSE,0,0,0,0,0,0,0.371230016,4.409713618,2.8397981
4.40971984,2.839791879,token_2,FALSE,0,0,0,0,0,0,0.220883048,4.482360981,2.767150737
4.482360981,2.767150737,token_3,FALSE,0,0,0,0,0,0,0.141776299,4.542625681,2.706886038
4.542625681,2.706886038,token_4,FALSE,0,0,0,0,0,0,0.156458647,4.616293252,2.633218467
4.616295516,2.633216202,token_5,FALSE,0,0,0,0,0,0,0.285217752,4.787172496,2.462339222
4.787174456,2.462337263,token_6,FALSE,0,0,0,0,0,0,0.170063392,4.902623095,2.346888624
4.902623095,2.346888624,token_7,FALSE,0,0,0,0,0,0,0.164784925,4.97715281,2.272358909
4.977154769,2.27235695,token_8,TRUE,5.055250168,4.142315865,7.249511719,0.19,0,0.07,0.154474218,4.168083467,3.081428252
4.171585962,3.077925757,token_9,FALSE,0,0,0,0,0,0,0.457610625,4.520573445,2.728938274
4.523625143,2.725886576,token_10,FALSE,0,0,0,0,0,0,0.182250803,4.621179022,2.628332697
4.621179022,2.628332697,token_11,FALSE,0,0,0,0,0,0,0.190839646,4.720847979,2.52866374
4.720847979,2.52866374,token_12,FALSE,0,0,0,0,0,0,0.207480036,4.861294337,2.388217382
4.861294337,2.388217382,token_13,FALSE,0,0,0,0,0,0,0.121614115,4.919906877,2.329604842
4.919906877,2.329604842,token_14,FALSE,0,0,0,0,0,0,0.2276195,5.050118774,2.199392945
5.050118774,2.199392945,token_15,TRUE,5.12083149,4.137336731,7.249511719,0.17,0.01,0.03,0.275411107,4.239779249,3.00973247
4.243753299,3.00575842,token_16,FALSE,0,0,0,0,0,0,0.070200304,4.277323939,2.97218778
4.280944474,2.968567245,token_17,FALSE,0,0,0,0,0,0,0.239481064,4.462195434,2.787316285
4.462195434,2.787316285,token_18,FALSE,0,0,0,0,0,0,0.173965372,4.5824086,2.667103119
4.5824086,2.667103119,token_19,FALSE,0,0,0,0,0,0,0.252222014,4.750458986,2.499052733
4.750458986,2.499052733,token_20,FALSE,0,0,0,0,0,0,0.197709401,4.90735285,2.342158869
4.90735285,2.342158869,token_21,FALSE,0,0,0,0,0,0,0.20609248,4.995289929,2.25422179
4.995289929,2.25422179,token_22,FALSE,0,0,0,0,0,0,0.09677851,5.045302056,2.204209663
5.045302056,2.204209663,token_23,TRUE,5.115852356,4.132131577,7.249511719,0.17,0,0.02,0.59255464,4.656779192,2.592732526
4.662952513,2.586559206,token_24,FALSE,0,0,0,0,0,0,0.216460861,4.789209634,2.460302085
4.792981625,2.456530094,token_25,FALSE,0,0,0,0,0,0,0.086304978,4.842612997,2.406898722
4.842717938,2.406793781,token_26,FALSE,0,0,0,0,0,0,0.026951089,4.858456433,2.391055286
4.858725309,2.390786409,token_27,FALSE,0,0,0,0,0,0,0.100673192,4.911961801,2.337549917
4.911961801,2.337549917,token_28,FALSE,0,0,0,0,0,0,0.171592604,5.001541823,2.247969896
5.001670845,2.247840874,token_29,FALSE,0,0,0,0,0,0,0.123160224,5.06599734,2.183514379
5.06599734,2.183514379,token_30,TRUE,5.110647202,4.115836143,7.249511719,0.13,0,0.02,0.119890931,4.149363406,3.100148313
4.156896353,3.092615366,token_31,FALSE,0,0,0,0,0,0,0.164901943,4.251342982,2.998168737
4.257028975,2.992482744,token_32,FALSE,0,0,0,0,0,0,0.141037136,4.324267745,2.925243974
4.324267745,2.925243974,token_33,FALSE,0,0,0,0,0,0,0.372623641,4.596857622,2.652654096
4.596857622,2.652654096,token_34,FALSE,0,0,0,0,0,0,0.011278094,4.596857622,2.652654096
4.596857622,2.652654096,token_35,FALSE,0,0,0,0,0,0,0.11214164,4.658785142,2.590726577
4.658785142,2.590726577,token_36,FALSE,0,0,0,0,0,0,0.2247282,4.790782534,2.458729185
4.790782534,2.458729185,token_37,FALSE,0,0,0,0,0,0,0.240631974,4.92901133,2.320500389
4.929056294,2.320455424,token_38,FALSE,0,0,0,0,0,0,0.234847406,5.069745071,2.179766648
